application_id,company_id,company_name,industry,region,company_type,requested_amount,term_months,annual_revenue,years_in_business,existing_debt,num_recent_loans,late_payment_ratio,suspicious_transfer_ratio,collateral_ratio,employees,country_risk_score,free_cash_flow,monthly_burn_rate,cash_flow_to_revenue_ratio,expected_runway_months,forecast_revenue_cagr,forecast_employee_cagr,forecast_fcf_margin_year5,planned_debt_reduction_pct,forecast_plan_confidence_score,current_ratio,quick_ratio,receivables_days,payables_days,inventory_days,financial_statements_uploaded,bank_statements_uploaded,tax_return_uploaded,ownership_docs_uploaded,forecast_support_uploaded,document_edit_count,late_stage_change_count,process_deviation_score,email_domain_age_months,website_age_months,bank_account_age_months,location_mismatch_score,duplicate_contact_score,related_party_exposure_score,counterparty_concentration_score,shared_identifier_score,narrative_contradiction_score,debt_to_revenue_ratio,request_to_revenue_ratio,loan_velocity_score,payment_stress_score,collateral_gap_ratio,external_financing_pressure,financial_distress_score,transaction_anomaly_score,company_scale_mismatch_score,governance_complexity_score,cash_flow_pressure_score,runway_risk_score,cash_conversion_risk_score,forecast_plan_aggressiveness_score,forecast_execution_risk_score,forecast_hiring_efficiency_risk_score,forecast_debt_service_risk_score,cash_conversion_cycle_days,document_completeness_score,document_quality_risk_score,process_integrity_risk_score,identity_verification_risk_score,working_capital_pressure_score,financial_statement_anomaly_score,related_party_network_risk_score,narrative_consistency_risk_score,is_fraud
APP-00001,CO-00001,Company 00001,Retail,Eastern Europe,LLC,432599.17,24,2971914.99,1.6,1281367.46,3,0.14,0.016,0.18,26,0.224,-130774.58,13218.01,-0.044,27.3,0.0993,0.0915,-0.0089,0.2822,0.4079,1.1455,0.8023,69.0,86.9,68.5,1,0,0,0,1,3,0,0.3145,0.0,7.0,0.0,0.2108,0.1075,0.2223,0.2325,0.0814,0.3577,0.4312,0.1456,0.5,0.2322,0.82,0.3966,0.4875,0.1204,0.1497,0.4794,0.0928,0.0,0.4037,0.0738,0.2452,0.0,0.0596,50.6,0.4,0.3952,0.2165,0.6751,0.073,0.1175,0.1695,0.3577,0
APP-00002,CO-00002,Company 00002,Construction,Latin America,Corporation,197966.33,24,774533.27,13.2,209050.47,0,0.335,0.006,0.911,4,0.371,-29080.09,3699.42,-0.0375,26.7,0.1169,0.096,-0.0038,0.376,0.4244,0.6389,0.3023,65.3,79.2,50.8,1,1,1,0,1,0,1,0.1318,143.0,77.0,110.0,0.1974,0.0309,0.084,0.4179,0.0423,0.1737,0.2699,0.2556,0.0,0.2814,0.089,0.3203,0.2171,0.126,0.5694,0.3732,0.0943,0.0,0.4041,0.0716,0.2412,0.0,0.0586,36.9,0.8,0.1432,0.1293,0.0426,0.3154,0.0967,0.1659,0.1737,1
APP-00003,CO-00003,Company 00003,Wholesale,Eastern Europe,LLC,602550.0,24,4641050.02,1.1,3079586.52,2,0.016,0.018,0.532,55,0.401,-600022.66,56237.25,-0.1293,20.0,0.0961,0.0831,-0.0192,0.2073,0.3298,0.6377,0.15,42.7,78.0,86.4,1,0,0,1,1,4,2,0.5183,0.0,11.0,0.0,0.2552,0.104,0.3315,0.32,0.1414,0.4413,0.6636,0.1298,0.3333,0.2477,0.468,0.4461,0.4892,0.1066,0.0986,0.5393,0.2581,0.0,0.6308,0.1129,0.3313,0.0,0.0829,51.1,0.6,0.4368,0.4732,0.6392,0.3531,0.1779,0.2492,0.4413,1
APP-00004,CO-00004,Company 00004,Software,Eastern Europe,Partnership,610074.41,48,5612825.0,1.5,2622561.86,1,0.256,0.115,0.152,32,0.145,226575.24,6817.0,0.0404,60.0,0.2024,0.1034,0.1346,0.318,0.6502,1.8929,2.1963,61.1,49.7,0.0,1,1,1,1,1,4,2,0.6942,7.0,28.0,0.0,0.1098,0.0778,0.2238,0.2799,0.0665,0.0188,0.4672,0.1087,0.1667,0.309,0.848,0.3147,0.5434,0.1529,0.2512,0.5198,0.0187,0.0,0.2112,0.1047,0.1594,0.0422,0.0559,11.4,1.0,0.2744,0.5524,0.3839,0.0,0.1011,0.1904,0.1074,1
APP-00005,CO-00005,Company 00005,Construction,North America,LLC,149100.38,48,311440.88,3.3,70204.17,5,0.016,0.155,0.388,3,0.097,-17398.55,1985.38,-0.0559,44.8,-0.0136,0.007,0.0733,0.3906,0.6824,1.0821,0.6072,68.4,63.9,65.8,1,0,0,0,1,3,2,0.6849,14.0,38.0,32.0,0.0217,0.1498,0.1337,0.6885,0.162,0.251,0.2254,0.4787,0.8333,0.09,0.612,0.6512,0.2498,0.1863,0.4473,0.067,0.1291,0.0,0.3847,0.0856,0.1897,0.0,0.0636,70.3,0.4,0.5122,0.5232,0.0193,0.1576,0.1463,0.3093,0.251,1
APP-00006,CO-00006,Company 00006,Software,APAC,LLC,121206.67,36,595895.44,4.8,292541.69,1,0.088,0.175,0.397,6,0.339,98399.98,1218.79,0.1651,40.5,0.2507,0.197,0.2213,0.3466,0.4672,0.9403,0.9543,66.0,46.7,13.1,0,0,1,1,0,0,2,0.3693,32.0,42.0,50.0,0.0717,0.0565,0.2699,0.2652,0.0511,0.2789,0.4909,0.2034,0.1667,0.2251,0.603,0.4019,0.3749,0.1814,0.1818,0.1034,0.0316,0.0,0.0788,0.1395,0.1751,0.0,0.0667,32.4,0.4,0.3869,0.3062,0.02,0.0788,0.1009,0.2043,0.2789,1
APP-00007,CO-00007,Company 00007,Wholesale,Latin America,Partnership,557753.74,18,2490117.37,4.1,2108065.19,0,0.031,0.105,0.666,17,0.022,-153182.48,14449.17,-0.0615,43.0,0.0376,0.0525,0.0663,0.3443,0.4894,1.2337,0.8085,57.7,75.5,48.1,1,1,1,0,1,2,1,0.3397,73.0,39.0,34.0,0.0669,0.0757,0.1149,0.4586,0.0297,0.1242,0.8466,0.224,0.0,0.3218,0.334,0.5319,0.4398,0.0672,0.2953,0.4013,0.1234,0.0,0.4806,0.1043,0.2588,0.0,0.1296,30.3,0.8,0.2265,0.2729,0.021,0.0479,0.0934,0.1957,0.132,1
APP-00008,CO-00008,Company 00008,Healthcare,North America,LLC,108909.16,24,1597191.62,4.8,1208958.98,1,0.124,0.081,0.758,7,0.452,-191533.03,18763.23,-0.1199,14.4,0.0271,-0.0096,-0.0122,0.412,0.5019,0.8991,0.7639,62.3,84.0,2.5,1,1,1,0,0,4,0,0.3832,71.0,45.0,51.0,0.1115,0.0785,0.1702,0.2692,0.1162,0.3214,0.7569,0.0682,0.1667,0.3407,0.242,0.4008,0.4032,0.1538,0.3285,0.1203,0.2472,0.0,0.639,0.0947,0.2925,0.0,0.1754,-19.2,0.6,0.3433,0.2724,0.0302,0.1342,0.1124,0.1775,0.3214,1
APP-00009,CO-00009,Company 00009,Healthcare,Western Europe,Sole Proprietorship,478918.02,48,2154779.26,8.0,1042721.17,3,0.096,0.156,0.794,13,0.397,-31516.96,4740.23,-0.0146,11.6,0.0742,0.0404,-0.0091,0.2074,0.5239,1.336,1.0302,57.3,64.0,24.9,1,1,1,1,1,3,1,0.8,94.0,79.0,57.0,0.1729,0.0514,0.2876,0.182,0.0743,0.2279,0.4839,0.2223,0.5,0.227,0.206,0.4811,0.2748,0.2146,0.3838,0.2066,0.042,0.0333,0.3255,0.0499,0.2007,0.0,0.0408,18.2,1.0,0.2138,0.505,0.0397,0.0,0.05,0.1894,0.2279,1
APP-00010,CO-00010,Company 00010,Manufacturing,Middle East,Sole Proprietorship,163453.19,18,933742.58,3.4,269196.23,0,0.026,0.042,0.577,7,0.498,-20599.98,2266.47,-0.0221,51.8,0.0457,0.0611,0.0104,0.4056,0.3584,1.3346,0.7805,67.4,72.7,84.3,1,1,1,1,0,1,0,0.2898,60.0,0.0,56.0,0.2423,0.0902,0.2664,0.4961,0.0105,0.3065,0.2883,0.1751,0.0,0.1181,0.423,0.2619,0.231,0.103,0.2102,0.5217,0.0496,0.0,0.3067,0.0777,0.2322,0.0,0.054,79.0,0.8,0.1502,0.1554,0.2575,0.1005,0.0602,0.2489,0.3065,1
