application_id,is_fraud,historical_action
APP-00001,1,Fraud confirmed
APP-00002,0,No fraud found
APP-00003,1,Fraud confirmed
APP-00004,1,Fraud confirmed
APP-00005,1,Fraud confirmed
APP-00006,1,Fraud confirmed
APP-00007,1,Fraud confirmed
APP-00008,1,Fraud confirmed
APP-00009,1,Fraud confirmed
APP-00010,0,No fraud found
APP-00011,1,Fraud confirmed
APP-00012,1,Fraud confirmed
APP-00013,1,Fraud confirmed
APP-00014,1,Fraud confirmed
APP-00015,1,Fraud confirmed
APP-00016,0,No fraud found
APP-00017,1,Fraud confirmed
APP-00018,1,Fraud confirmed
APP-00019,0,No fraud found
APP-00020,1,Fraud confirmed
APP-00021,1,Fraud confirmed
APP-00022,1,Fraud confirmed
APP-00023,1,Fraud confirmed
APP-00024,1,Fraud confirmed
APP-00025,1,Fraud confirmed
APP-00026,1,Fraud confirmed
APP-00027,0,No fraud found
APP-00028,0,No fraud found
APP-00029,0,No fraud found
APP-00030,1,Fraud confirmed
APP-00031,0,No fraud found
APP-00032,1,Fraud confirmed
APP-00033,1,Fraud confirmed
APP-00034,1,Fraud confirmed
APP-00035,1,Fraud confirmed
APP-00036,0,No fraud found
APP-00037,1,Fraud confirmed
APP-00038,0,No fraud found
APP-00039,1,Fraud confirmed
APP-00040,1,Fraud confirmed
APP-00041,1,Fraud confirmed
APP-00042,1,Fraud confirmed
APP-00043,1,Fraud confirmed
APP-00044,1,Fraud confirmed
APP-00045,1,Fraud confirmed
APP-00046,1,Fraud confirmed
APP-00047,1,Fraud confirmed
APP-00048,0,No fraud found
APP-00049,1,Fraud confirmed
APP-00050,1,Fraud confirmed
APP-00051,1,Fraud confirmed
APP-00052,1,Fraud confirmed
APP-00053,0,No fraud found
APP-00054,1,Fraud confirmed
APP-00055,1,Fraud confirmed
APP-00056,0,No fraud found
APP-00057,1,Fraud confirmed
APP-00058,1,Fraud confirmed
APP-00059,0,No fraud found
APP-00060,1,Fraud confirmed
APP-00061,0,No fraud found
APP-00062,0,No fraud found
APP-00063,0,No fraud found
APP-00064,1,Fraud confirmed
APP-00065,1,Fraud confirmed
APP-00066,0,No fraud found
APP-00067,1,Fraud confirmed
APP-00068,0,No fraud found
APP-00069,1,Fraud confirmed
APP-00070,1,Fraud confirmed
APP-00071,0,No fraud found
APP-00072,0,No fraud found
APP-00073,0,No fraud found
APP-00074,0,No fraud found
APP-00075,0,No fraud found
APP-00076,1,Fraud confirmed
APP-00077,1,Fraud confirmed
APP-00078,1,Fraud confirmed
APP-00079,1,Fraud confirmed
APP-00080,1,Fraud confirmed
APP-00081,1,Fraud confirmed
APP-00082,1,Fraud confirmed
APP-00083,1,Fraud confirmed
APP-00084,1,Fraud confirmed
APP-00085,1,Fraud confirmed
APP-00086,1,Fraud confirmed
APP-00087,1,Fraud confirmed
APP-00088,1,Fraud confirmed
APP-00089,1,Fraud confirmed
APP-00090,0,No fraud found
APP-00091,1,Fraud confirmed
APP-00092,1,Fraud confirmed
APP-00093,0,No fraud found
APP-00094,1,Fraud confirmed
APP-00095,1,Fraud confirmed
APP-00096,1,Fraud confirmed
APP-00097,0,No fraud found
APP-00098,1,Fraud confirmed
APP-00099,0,No fraud found
APP-00100,1,Fraud confirmed
APP-00101,1,Fraud confirmed
APP-00102,0,No fraud found
APP-00103,1,Fraud confirmed
APP-00104,0,No fraud found
APP-00105,1,Fraud confirmed
APP-00106,1,Fraud confirmed
APP-00107,1,Fraud confirmed
APP-00108,1,Fraud confirmed
APP-00109,1,Fraud confirmed
APP-00110,1,Fraud confirmed
APP-00111,1,Fraud confirmed
APP-00112,0,No fraud found
APP-00113,0,No fraud found
APP-00114,0,No fraud found
APP-00115,1,Fraud confirmed
APP-00116,1,Fraud confirmed
APP-00117,1,Fraud confirmed
APP-00118,1,Fraud confirmed
APP-00119,1,Fraud confirmed
APP-00120,0,No fraud found
APP-00121,1,Fraud confirmed
APP-00122,1,Fraud confirmed
APP-00123,1,Fraud confirmed
APP-00124,1,Fraud confirmed
APP-00125,0,No fraud found
APP-00126,1,Fraud confirmed
APP-00127,0,No fraud found
APP-00128,1,Fraud confirmed
APP-00129,1,Fraud confirmed
APP-00130,1,Fraud confirmed
APP-00131,1,Fraud confirmed
APP-00132,1,Fraud confirmed
APP-00133,1,Fraud confirmed
APP-00134,1,Fraud confirmed
APP-00135,0,No fraud found
APP-00136,0,No fraud found
APP-00137,1,Fraud confirmed
APP-00138,0,No fraud found
APP-00139,1,Fraud confirmed
APP-00140,0,No fraud found
APP-00141,0,No fraud found
APP-00142,1,Fraud confirmed
APP-00143,1,Fraud confirmed
APP-00144,0,No fraud found
APP-00145,1,Fraud confirmed
APP-00146,0,No fraud found
APP-00147,1,Fraud confirmed
APP-00148,1,Fraud confirmed
APP-00149,0,No fraud found
APP-00150,0,No fraud found
APP-00151,1,Fraud confirmed
APP-00152,1,Fraud confirmed
APP-00153,1,Fraud confirmed
APP-00154,1,Fraud confirmed
APP-00155,0,No fraud found
APP-00156,1,Fraud confirmed
APP-00157,0,No fraud found
APP-00158,1,Fraud confirmed
APP-00159,1,Fraud confirmed
APP-00160,1,Fraud confirmed
APP-00161,0,No fraud found
APP-00162,0,No fraud found
APP-00163,1,Fraud confirmed
APP-00164,1,Fraud confirmed
APP-00165,1,Fraud confirmed
APP-00166,0,No fraud found
APP-00167,1,Fraud confirmed
APP-00168,0,No fraud found
APP-00169,1,Fraud confirmed
APP-00170,1,Fraud confirmed
APP-00171,0,No fraud found
APP-00172,0,No fraud found
APP-00173,1,Fraud confirmed
APP-00174,0,No fraud found
APP-00175,1,Fraud confirmed
APP-00176,1,Fraud confirmed
APP-00177,1,Fraud confirmed
APP-00178,1,Fraud confirmed
APP-00179,1,Fraud confirmed
APP-00180,1,Fraud confirmed
APP-00181,0,No fraud found
APP-00182,0,No fraud found
APP-00183,1,Fraud confirmed
APP-00184,1,Fraud confirmed
APP-00185,0,No fraud found
APP-00186,1,Fraud confirmed
APP-00187,1,Fraud confirmed
APP-00188,1,Fraud confirmed
APP-00189,1,Fraud confirmed
APP-00190,1,Fraud confirmed
APP-00191,0,No fraud found
APP-00192,0,No fraud found
APP-00193,1,Fraud confirmed
APP-00194,0,No fraud found
APP-00195,1,Fraud confirmed
APP-00196,1,Fraud confirmed
APP-00197,1,Fraud confirmed
APP-00198,1,Fraud confirmed
APP-00199,0,No fraud found
APP-00200,1,Fraud confirmed
APP-00201,1,Fraud confirmed
APP-00202,0,No fraud found
APP-00203,1,Fraud confirmed
APP-00204,0,No fraud found
APP-00205,1,Fraud confirmed
APP-00206,1,Fraud confirmed
APP-00207,1,Fraud confirmed
APP-00208,1,Fraud confirmed
APP-00209,0,No fraud found
APP-00210,0,No fraud found
APP-00211,1,Fraud confirmed
APP-00212,1,Fraud confirmed
APP-00213,1,Fraud confirmed
APP-00214,1,Fraud confirmed
APP-00215,1,Fraud confirmed
APP-00216,1,Fraud confirmed
APP-00217,1,Fraud confirmed
APP-00218,1,Fraud confirmed
APP-00219,0,No fraud found
APP-00220,1,Fraud confirmed
APP-00221,1,Fraud confirmed
APP-00222,1,Fraud confirmed
APP-00223,1,Fraud confirmed
APP-00224,1,Fraud confirmed
APP-00225,1,Fraud confirmed
APP-00226,1,Fraud confirmed
APP-00227,0,No fraud found
APP-00228,1,Fraud confirmed
APP-00229,1,Fraud confirmed
APP-00230,1,Fraud confirmed
APP-00231,1,Fraud confirmed
APP-00232,1,Fraud confirmed
APP-00233,1,Fraud confirmed
APP-00234,1,Fraud confirmed
APP-00235,1,Fraud confirmed
APP-00236,0,No fraud found
APP-00237,0,No fraud found
APP-00238,1,Fraud confirmed
APP-00239,1,Fraud confirmed
APP-00240,1,Fraud confirmed
APP-00241,0,No fraud found
APP-00242,1,Fraud confirmed
APP-00243,1,Fraud confirmed
APP-00244,1,Fraud confirmed
APP-00245,0,No fraud found
APP-00246,0,No fraud found
APP-00247,0,No fraud found
APP-00248,1,Fraud confirmed
APP-00249,1,Fraud confirmed
APP-00250,1,Fraud confirmed
APP-00251,1,Fraud confirmed
APP-00252,1,Fraud confirmed
APP-00253,1,Fraud confirmed
APP-00254,1,Fraud confirmed
APP-00255,1,Fraud confirmed
APP-00256,0,No fraud found
APP-00257,1,Fraud confirmed
APP-00258,1,Fraud confirmed
APP-00259,1,Fraud confirmed
APP-00260,1,Fraud confirmed
APP-00261,1,Fraud confirmed
APP-00262,1,Fraud confirmed
APP-00263,0,No fraud found
APP-00264,1,Fraud confirmed
APP-00265,1,Fraud confirmed
APP-00266,1,Fraud confirmed
APP-00267,0,No fraud found
APP-00268,1,Fraud confirmed
APP-00269,1,Fraud confirmed
APP-00270,1,Fraud confirmed
APP-00271,1,Fraud confirmed
APP-00272,1,Fraud confirmed
APP-00273,1,Fraud confirmed
APP-00274,1,Fraud confirmed
APP-00275,1,Fraud confirmed
APP-00276,1,Fraud confirmed
APP-00277,0,No fraud found
APP-00278,1,Fraud confirmed
APP-00279,1,Fraud confirmed
APP-00280,1,Fraud confirmed
APP-00281,1,Fraud confirmed
APP-00282,1,Fraud confirmed
APP-00283,1,Fraud confirmed
APP-00284,0,No fraud found
APP-00285,1,Fraud confirmed
APP-00286,1,Fraud confirmed
APP-00287,1,Fraud confirmed
APP-00288,1,Fraud confirmed
APP-00289,1,Fraud confirmed
APP-00290,1,Fraud confirmed
APP-00291,0,No fraud found
APP-00292,1,Fraud confirmed
APP-00293,0,No fraud found
APP-00294,1,Fraud confirmed
APP-00295,1,Fraud confirmed
APP-00296,1,Fraud confirmed
APP-00297,1,Fraud confirmed
APP-00298,0,No fraud found
APP-00299,1,Fraud confirmed
APP-00300,1,Fraud confirmed
APP-00301,1,Fraud confirmed
APP-00302,1,Fraud confirmed
APP-00303,1,Fraud confirmed
APP-00304,1,Fraud confirmed
APP-00305,1,Fraud confirmed
APP-00306,0,No fraud found
APP-00307,1,Fraud confirmed
APP-00308,1,Fraud confirmed
APP-00309,0,No fraud found
APP-00310,1,Fraud confirmed
APP-00311,0,No fraud found
APP-00312,1,Fraud confirmed
APP-00313,0,No fraud found
APP-00314,1,Fraud confirmed
APP-00315,1,Fraud confirmed
APP-00316,1,Fraud confirmed
APP-00317,1,Fraud confirmed
APP-00318,1,Fraud confirmed
APP-00319,1,Fraud confirmed
APP-00320,1,Fraud confirmed
APP-00321,1,Fraud confirmed
APP-00322,1,Fraud confirmed
APP-00323,0,No fraud found
APP-00324,1,Fraud confirmed
APP-00325,1,Fraud confirmed
APP-00326,1,Fraud confirmed
APP-00327,1,Fraud confirmed
APP-00328,1,Fraud confirmed
APP-00329,1,Fraud confirmed
APP-00330,1,Fraud confirmed
APP-00331,0,No fraud found
APP-00332,0,No fraud found
APP-00333,1,Fraud confirmed
APP-00334,1,Fraud confirmed
APP-00335,0,No fraud found
APP-00336,1,Fraud confirmed
APP-00337,1,Fraud confirmed
APP-00338,1,Fraud confirmed
APP-00339,0,No fraud found
APP-00340,1,Fraud confirmed
APP-00341,0,No fraud found
APP-00342,1,Fraud confirmed
APP-00343,1,Fraud confirmed
APP-00344,1,Fraud confirmed
APP-00345,1,Fraud confirmed
APP-00346,1,Fraud confirmed
APP-00347,1,Fraud confirmed
APP-00348,0,No fraud found
APP-00349,0,No fraud found
APP-00350,0,No fraud found
APP-00351,1,Fraud confirmed
APP-00352,0,No fraud found
APP-00353,0,No fraud found
APP-00354,1,Fraud confirmed
APP-00355,1,Fraud confirmed
APP-00356,1,Fraud confirmed
APP-00357,1,Fraud confirmed
APP-00358,1,Fraud confirmed
APP-00359,1,Fraud confirmed
APP-00360,0,No fraud found
APP-00361,1,Fraud confirmed
APP-00362,1,Fraud confirmed
APP-00363,1,Fraud confirmed
APP-00364,1,Fraud confirmed
APP-00365,0,No fraud found
APP-00366,1,Fraud confirmed
APP-00367,1,Fraud confirmed
APP-00368,1,Fraud confirmed
APP-00369,1,Fraud confirmed
APP-00370,0,No fraud found
APP-00371,1,Fraud confirmed
APP-00372,0,No fraud found
APP-00373,1,Fraud confirmed
APP-00374,1,Fraud confirmed
APP-00375,1,Fraud confirmed
APP-00376,0,No fraud found
APP-00377,1,Fraud confirmed
APP-00378,0,No fraud found
APP-00379,1,Fraud confirmed
APP-00380,0,No fraud found
APP-00381,1,Fraud confirmed
APP-00382,1,Fraud confirmed
APP-00383,1,Fraud confirmed
APP-00384,1,Fraud confirmed
APP-00385,0,No fraud found
APP-00386,0,No fraud found
APP-00387,1,Fraud confirmed
APP-00388,1,Fraud confirmed
APP-00389,1,Fraud confirmed
APP-00390,1,Fraud confirmed
APP-00391,1,Fraud confirmed
APP-00392,1,Fraud confirmed
APP-00393,1,Fraud confirmed
APP-00394,1,Fraud confirmed
APP-00395,1,Fraud confirmed
APP-00396,1,Fraud confirmed
APP-00397,1,Fraud confirmed
APP-00398,1,Fraud confirmed
APP-00399,1,Fraud confirmed
APP-00400,1,Fraud confirmed
APP-00401,1,Fraud confirmed
APP-00402,1,Fraud confirmed
APP-00403,1,Fraud confirmed
APP-00404,0,No fraud found
APP-00405,1,Fraud confirmed
APP-00406,0,No fraud found
APP-00407,1,Fraud confirmed
APP-00408,1,Fraud confirmed
APP-00409,1,Fraud confirmed
APP-00410,1,Fraud confirmed
APP-00411,0,No fraud found
APP-00412,1,Fraud confirmed
APP-00413,0,No fraud found
APP-00414,0,No fraud found
APP-00415,1,Fraud confirmed
APP-00416,0,No fraud found
APP-00417,0,No fraud found
APP-00418,1,Fraud confirmed
APP-00419,1,Fraud confirmed
APP-00420,0,No fraud found
APP-00421,0,No fraud found
APP-00422,1,Fraud confirmed
APP-00423,1,Fraud confirmed
APP-00424,1,Fraud confirmed
APP-00425,0,No fraud found
APP-00426,1,Fraud confirmed
APP-00427,1,Fraud confirmed
APP-00428,1,Fraud confirmed
APP-00429,1,Fraud confirmed
APP-00430,1,Fraud confirmed
APP-00431,1,Fraud confirmed
APP-00432,0,No fraud found
APP-00433,0,No fraud found
APP-00434,0,No fraud found
APP-00435,1,Fraud confirmed
APP-00436,1,Fraud confirmed
APP-00437,1,Fraud confirmed
APP-00438,0,No fraud found
APP-00439,1,Fraud confirmed
APP-00440,1,Fraud confirmed
APP-00441,0,No fraud found
APP-00442,0,No fraud found
APP-00443,1,Fraud confirmed
APP-00444,1,Fraud confirmed
APP-00445,0,No fraud found
APP-00446,1,Fraud confirmed
APP-00447,1,Fraud confirmed
APP-00448,1,Fraud confirmed
APP-00449,1,Fraud confirmed
APP-00450,1,Fraud confirmed
APP-00451,0,No fraud found
APP-00452,1,Fraud confirmed
APP-00453,1,Fraud confirmed
APP-00454,0,No fraud found
APP-00455,0,No fraud found
APP-00456,1,Fraud confirmed
APP-00457,1,Fraud confirmed
APP-00458,1,Fraud confirmed
APP-00459,1,Fraud confirmed
APP-00460,1,Fraud confirmed
APP-00461,1,Fraud confirmed
APP-00462,0,No fraud found
APP-00463,1,Fraud confirmed
APP-00464,1,Fraud confirmed
APP-00465,1,Fraud confirmed
APP-00466,1,Fraud confirmed
APP-00467,1,Fraud confirmed
APP-00468,1,Fraud confirmed
APP-00469,1,Fraud confirmed
APP-00470,1,Fraud confirmed
APP-00471,1,Fraud confirmed
APP-00472,0,No fraud found
APP-00473,1,Fraud confirmed
APP-00474,0,No fraud found
APP-00475,0,No fraud found
APP-00476,1,Fraud confirmed
APP-00477,1,Fraud confirmed
APP-00478,0,No fraud found
APP-00479,1,Fraud confirmed
APP-00480,1,Fraud confirmed
APP-00481,0,No fraud found
APP-00482,1,Fraud confirmed
APP-00483,1,Fraud confirmed
APP-00484,1,Fraud confirmed
APP-00485,0,No fraud found
APP-00486,1,Fraud confirmed
APP-00487,0,No fraud found
APP-00488,1,Fraud confirmed
APP-00489,1,Fraud confirmed
APP-00490,1,Fraud confirmed
APP-00491,1,Fraud confirmed
APP-00492,0,No fraud found
APP-00493,0,No fraud found
APP-00494,1,Fraud confirmed
APP-00495,0,No fraud found
APP-00496,1,Fraud confirmed
APP-00497,1,Fraud confirmed
APP-00498,0,No fraud found
APP-00499,1,Fraud confirmed
APP-00500,1,Fraud confirmed
APP-00501,1,Fraud confirmed
APP-00502,1,Fraud confirmed
APP-00503,1,Fraud confirmed
APP-00504,1,Fraud confirmed
APP-00505,0,No fraud found
APP-00506,1,Fraud confirmed
APP-00507,0,No fraud found
APP-00508,0,No fraud found
APP-00509,1,Fraud confirmed
APP-00510,0,No fraud found
APP-00511,1,Fraud confirmed
APP-00512,1,Fraud confirmed
APP-00513,0,No fraud found
APP-00514,1,Fraud confirmed
APP-00515,1,Fraud confirmed
APP-00516,0,No fraud found
APP-00517,1,Fraud confirmed
APP-00518,1,Fraud confirmed
APP-00519,1,Fraud confirmed
APP-00520,0,No fraud found
APP-00521,0,No fraud found
APP-00522,1,Fraud confirmed
APP-00523,1,Fraud confirmed
APP-00524,1,Fraud confirmed
APP-00525,0,No fraud found
APP-00526,1,Fraud confirmed
APP-00527,1,Fraud confirmed
APP-00528,1,Fraud confirmed
APP-00529,1,Fraud confirmed
APP-00530,1,Fraud confirmed
APP-00531,1,Fraud confirmed
APP-00532,0,No fraud found
APP-00533,0,No fraud found
APP-00534,1,Fraud confirmed
APP-00535,1,Fraud confirmed
APP-00536,1,Fraud confirmed
APP-00537,1,Fraud confirmed
APP-00538,1,Fraud confirmed
APP-00539,0,No fraud found
APP-00540,1,Fraud confirmed
APP-00541,1,Fraud confirmed
APP-00542,0,No fraud found
APP-00543,0,No fraud found
APP-00544,1,Fraud confirmed
APP-00545,1,Fraud confirmed
APP-00546,0,No fraud found
APP-00547,1,Fraud confirmed
APP-00548,1,Fraud confirmed
APP-00549,0,No fraud found
APP-00550,1,Fraud confirmed
APP-00551,1,Fraud confirmed
APP-00552,1,Fraud confirmed
APP-00553,1,Fraud confirmed
APP-00554,1,Fraud confirmed
APP-00555,1,Fraud confirmed
APP-00556,0,No fraud found
APP-00557,1,Fraud confirmed
APP-00558,1,Fraud confirmed
APP-00559,0,No fraud found
APP-00560,1,Fraud confirmed
APP-00561,1,Fraud confirmed
APP-00562,0,No fraud found
APP-00563,1,Fraud confirmed
APP-00564,1,Fraud confirmed
APP-00565,0,No fraud found
APP-00566,1,Fraud confirmed
APP-00567,1,Fraud confirmed
APP-00568,0,No fraud found
APP-00569,0,No fraud found
APP-00570,1,Fraud confirmed
APP-00571,1,Fraud confirmed
APP-00572,1,Fraud confirmed
APP-00573,1,Fraud confirmed
APP-00574,1,Fraud confirmed
APP-00575,1,Fraud confirmed
APP-00576,1,Fraud confirmed
APP-00577,1,Fraud confirmed
APP-00578,0,No fraud found
APP-00579,0,No fraud found
APP-00580,1,Fraud confirmed
APP-00581,1,Fraud confirmed
APP-00582,1,Fraud confirmed
APP-00583,1,Fraud confirmed
APP-00584,0,No fraud found
APP-00585,1,Fraud confirmed
APP-00586,1,Fraud confirmed
APP-00587,1,Fraud confirmed
APP-00588,1,Fraud confirmed
APP-00589,0,No fraud found
APP-00590,0,No fraud found
APP-00591,1,Fraud confirmed
APP-00592,0,No fraud found
APP-00593,1,Fraud confirmed
APP-00594,1,Fraud confirmed
APP-00595,1,Fraud confirmed
APP-00596,1,Fraud confirmed
APP-00597,0,No fraud found
APP-00598,1,Fraud confirmed
APP-00599,1,Fraud confirmed
APP-00600,0,No fraud found
APP-00601,0,No fraud found
APP-00602,1,Fraud confirmed
APP-00603,0,No fraud found
APP-00604,1,Fraud confirmed
APP-00605,1,Fraud confirmed
APP-00606,1,Fraud confirmed
APP-00607,0,No fraud found
APP-00608,1,Fraud confirmed
APP-00609,0,No fraud found
APP-00610,1,Fraud confirmed
APP-00611,0,No fraud found
APP-00612,1,Fraud confirmed
APP-00613,1,Fraud confirmed
APP-00614,1,Fraud confirmed
APP-00615,0,No fraud found
APP-00616,0,No fraud found
APP-00617,1,Fraud confirmed
APP-00618,0,No fraud found
APP-00619,1,Fraud confirmed
APP-00620,1,Fraud confirmed
APP-00621,1,Fraud confirmed
APP-00622,1,Fraud confirmed
APP-00623,0,No fraud found
APP-00624,0,No fraud found
APP-00625,1,Fraud confirmed
APP-00626,1,Fraud confirmed
APP-00627,1,Fraud confirmed
APP-00628,1,Fraud confirmed
APP-00629,1,Fraud confirmed
APP-00630,1,Fraud confirmed
APP-00631,1,Fraud confirmed
APP-00632,1,Fraud confirmed
APP-00633,1,Fraud confirmed
APP-00634,1,Fraud confirmed
APP-00635,0,No fraud found
APP-00636,1,Fraud confirmed
APP-00637,1,Fraud confirmed
APP-00638,1,Fraud confirmed
APP-00639,1,Fraud confirmed
APP-00640,1,Fraud confirmed
APP-00641,0,No fraud found
APP-00642,0,No fraud found
APP-00643,0,No fraud found
APP-00644,1,Fraud confirmed
APP-00645,1,Fraud confirmed
APP-00646,1,Fraud confirmed
APP-00647,1,Fraud confirmed
APP-00648,0,No fraud found
APP-00649,1,Fraud confirmed
APP-00650,1,Fraud confirmed
APP-00651,1,Fraud confirmed
APP-00652,0,No fraud found
APP-00653,0,No fraud found
APP-00654,0,No fraud found
APP-00655,1,Fraud confirmed
APP-00656,1,Fraud confirmed
APP-00657,1,Fraud confirmed
APP-00658,1,Fraud confirmed
APP-00659,0,No fraud found
APP-00660,1,Fraud confirmed
APP-00661,0,No fraud found
APP-00662,1,Fraud confirmed
APP-00663,1,Fraud confirmed
APP-00664,0,No fraud found
APP-00665,1,Fraud confirmed
APP-00666,1,Fraud confirmed
APP-00667,1,Fraud confirmed
APP-00668,0,No fraud found
APP-00669,1,Fraud confirmed
APP-00670,1,Fraud confirmed
APP-00671,1,Fraud confirmed
APP-00672,0,No fraud found
APP-00673,1,Fraud confirmed
APP-00674,0,No fraud found
APP-00675,1,Fraud confirmed
APP-00676,0,No fraud found
APP-00677,0,No fraud found
APP-00678,1,Fraud confirmed
APP-00679,1,Fraud confirmed
APP-00680,0,No fraud found
APP-00681,1,Fraud confirmed
APP-00682,1,Fraud confirmed
APP-00683,1,Fraud confirmed
APP-00684,1,Fraud confirmed
APP-00685,1,Fraud confirmed
APP-00686,1,Fraud confirmed
APP-00687,1,Fraud confirmed
APP-00688,1,Fraud confirmed
APP-00689,1,Fraud confirmed
APP-00690,0,No fraud found
APP-00691,1,Fraud confirmed
APP-00692,1,Fraud confirmed
APP-00693,1,Fraud confirmed
APP-00694,1,Fraud confirmed
APP-00695,1,Fraud confirmed
APP-00696,1,Fraud confirmed
APP-00697,1,Fraud confirmed
APP-00698,1,Fraud confirmed
APP-00699,1,Fraud confirmed
APP-00700,1,Fraud confirmed
APP-00701,1,Fraud confirmed
APP-00702,0,No fraud found
APP-00703,1,Fraud confirmed
APP-00704,1,Fraud confirmed
APP-00705,1,Fraud confirmed
APP-00706,0,No fraud found
APP-00707,1,Fraud confirmed
APP-00708,0,No fraud found
APP-00709,1,Fraud confirmed
APP-00710,0,No fraud found
APP-00711,1,Fraud confirmed
APP-00712,1,Fraud confirmed
APP-00713,0,No fraud found
APP-00714,1,Fraud confirmed
APP-00715,0,No fraud found
APP-00716,0,No fraud found
APP-00717,1,Fraud confirmed
APP-00718,1,Fraud confirmed
APP-00719,1,Fraud confirmed
APP-00720,0,No fraud found
APP-00721,1,Fraud confirmed
APP-00722,1,Fraud confirmed
APP-00723,0,No fraud found
APP-00724,1,Fraud confirmed
APP-00725,1,Fraud confirmed
APP-00726,1,Fraud confirmed
APP-00727,1,Fraud confirmed
APP-00728,0,No fraud found
APP-00729,1,Fraud confirmed
APP-00730,0,No fraud found
APP-00731,0,No fraud found
APP-00732,1,Fraud confirmed
APP-00733,0,No fraud found
APP-00734,1,Fraud confirmed
APP-00735,1,Fraud confirmed
APP-00736,1,Fraud confirmed
