application_id,company_id,forecast_year,projected_revenue,projected_employees,projected_free_cash_flow,projected_debt
APP-00001,CO-00001,1,3267026.15,28,-120814.63,1209047.08
APP-00001,CO-00001,2,3591441.85,31,-107599.6,1136726.7
APP-00001,CO-00001,3,3948072.02,34,-90568.77,1064406.32
APP-00001,CO-00001,4,4340115.57,37,-69094.64,992085.94
APP-00001,CO-00001,5,4771089.05,40,-42462.69,919765.56
APP-00002,CO-00002,1,865076.21,4,-26609.74,193329.87
APP-00002,CO-00002,2,966203.62,5,-23208.21,177609.28
APP-00002,CO-00002,3,1079152.82,5,-18647.76,161888.68
APP-00002,CO-00002,4,1205305.79,6,-12703.92,146168.09
APP-00002,CO-00002,5,1346206.03,6,-5115.58,130447.49
APP-00003,CO-00003,1,5087054.93,60,-545739.25,2951906.86
APP-00003,CO-00003,2,5575920.91,65,-475403.02,2824227.21
APP-00003,CO-00003,3,6111766.9,70,-386508.14,2696547.55
APP-00003,CO-00003,4,6699107.7,76,-276137.22,2568867.89
APP-00003,CO-00003,5,7342891.95,82,-140983.53,2441188.23
APP-00004,CO-00004,1,6748860.78,35,399802.51,2455766.93
APP-00004,CO-00004,2,8114830.2,39,633605.94,2288971.99
APP-00004,CO-00004,3,9757271.83,43,945674.79,2122177.06
APP-00004,CO-00004,4,11732143.65,47,1358112.95,1955382.12
APP-00004,CO-00004,5,14106729.53,52,1898765.79,1788587.19
APP-00005,CO-00005,1,307205.28,3,-9234.59,64719.82
APP-00005,CO-00005,2,303027.29,3,-1278.78,59235.47
APP-00005,CO-00005,3,298906.12,3,6462.35,53751.12
APP-00005,CO-00005,4,294841.0,3,13993.15,48266.77
APP-00005,CO-00005,5,290831.16,3,21317.92,42782.42
APP-00006,CO-00006,1,745286.43,7,131423.81,272262.7
APP-00006,CO-00006,2,932129.73,9,174848.9,251983.71
APP-00006,CO-00006,3,1165814.66,10,231787.27,231704.72
APP-00006,CO-00006,4,1458084.39,12,306285.21,211425.73
APP-00006,CO-00006,5,1823626.15,15,403568.47,191146.74
APP-00007,CO-00007,1,2583745.78,18,-92859.82,1962903.82
APP-00007,CO-00007,2,2680894.62,19,-27827.69,1817742.45
APP-00007,CO-00007,3,2781696.26,20,42226.15,1672581.08
APP-00007,CO-00007,4,2886288.04,21,117587.37,1527419.71
APP-00007,CO-00007,5,2994812.47,22,198556.07,1382258.35
APP-00008,CO-00008,1,1640475.51,7,-161357.17,1109340.76
APP-00008,CO-00008,2,1684932.4,7,-129436.51,1009722.54
APP-00008,CO-00008,3,1730594.07,7,-95667.24,910104.32
APP-00008,CO-00008,4,1777493.17,7,-59972.62,810486.1
APP-00008,CO-00008,5,1825663.23,7,-22273.09,710867.88
APP-00009,CO-00009,1,2314663.88,14,-31247.96,999469.1
APP-00009,CO-00009,2,2486411.94,14,-30831.51,956217.02
APP-00009,CO-00009,3,2670903.71,15,-30181.21,912964.95
APP-00009,CO-00009,4,2869084.76,15,-29264.66,869712.87
APP-00009,CO-00009,5,3081970.85,16,-28045.93,826460.8
APP-00010,CO-00010,1,976414.62,7,-15232.07,247359.03
APP-00010,CO-00010,2,1021036.76,8,-9291.43,225521.83
APP-00010,CO-00010,3,1067698.14,8,-2776.02,203684.64
APP-00010,CO-00010,4,1116491.95,9,4354.32,181847.44
APP-00010,CO-00010,5,1167515.63,9,12142.16,160010.24
APP-00011,CO-00011,1,5327313.93,37,-1047349.92,968900.94
APP-00011,CO-00011,2,5375259.76,37,-948733.35,948925.64
APP-00011,CO-00011,3,5423637.1,37,-848256.84,928950.34
APP-00011,CO-00011,4,5472449.83,38,-745894.91,908975.04
APP-00011,CO-00011,5,5521701.88,38,-641621.76,888999.74
APP-00012,CO-00012,1,5387842.17,30,-1129830.5,3718860.09
APP-00012,CO-00012,2,6086106.52,31,-1164880.79,3445985.08
APP-00012,CO-00012,3,6874865.92,33,-1190039.29,3173110.07
APP-00012,CO-00012,4,7765848.55,35,-1202153.36,2900235.05
APP-00012,CO-00012,5,8772302.52,37,-1197419.29,2627360.04
APP-00013,CO-00013,1,2641196.98,15,-354448.63,1538027.28
APP-00013,CO-00013,2,2980062.55,16,-382044.02,1483201.27
APP-00013,CO-00013,3,3362404.57,18,-410885.84,1428375.26
APP-00013,CO-00013,4,3793801.08,21,-440839.69,1373549.25
APP-00013,CO-00013,5,4280545.76,23,-471716.14,1318723.24
APP-00014,CO-00014,1,7324233.95,60,288135.36,3552878.8
APP-00014,CO-00014,2,7929948.1,64,475638.29,3370838.86
APP-00014,CO-00014,3,8585754.81,68,692183.55,3188798.92
APP-00014,CO-00014,4,9295796.73,72,941292.38,3006758.98
APP-00014,CO-00014,5,10064559.12,77,1226869.76,2824719.04
APP-00015,CO-00015,1,3745286.82,33,-220073.05,2778939.3
APP-00015,CO-00015,2,4010827.66,34,-200220.52,2627558.99
APP-00015,CO-00015,3,4295195.34,36,-176446.62,2476178.68
APP-00015,CO-00015,4,4599724.69,38,-148295.12,2324798.37
APP-00015,CO-00015,5,4925845.17,40,-115264.78,2173418.05
APP-00016,CO-00016,1,960682.05,6,76681.64,110751.75
APP-00016,CO-00016,2,994594.12,6,96316.49,97929.73
APP-00016,CO-00016,3,1029703.3,6,117242.02,85107.72
APP-00016,CO-00016,4,1066051.82,6,139524.86,72285.71
APP-00016,CO-00016,5,1103683.45,6,163234.78,59463.69
APP-00017,CO-00017,1,3648778.69,17,-92095.17,1926188.56
APP-00017,CO-00017,2,4201933.54,18,-12101.57,1777950.0
APP-00017,CO-00017,3,4838946.67,18,94262.68,1629711.43
APP-00017,CO-00017,4,5572530.98,19,233154.7,1481472.87
APP-00017,CO-00017,5,6417326.68,19,411992.37,1333234.31
APP-00018,CO-00018,1,1015939.59,5,-141947.08,173210.95
APP-00018,CO-00018,2,1228778.93,5,-164828.41,160333.64
APP-00018,CO-00018,3,1486208.12,6,-191066.92,147456.34
APP-00018,CO-00018,4,1797568.72,7,-221065.0,134579.03
APP-00018,CO-00018,5,2174159.37,8,-255246.31,121701.72
APP-00019,CO-00019,1,5344421.91,32,-420071.56,635771.54
APP-00019,CO-00019,2,5414968.28,34,-403956.63,574547.45
APP-00019,CO-00019,3,5486445.86,35,-387343.08,513323.35
APP-00019,CO-00019,4,5558866.94,36,-370220.54,452099.25
APP-00019,CO-00019,5,5632243.99,38,-352578.47,390875.15
APP-00020,CO-00020,1,2508156.96,12,-173614.62,892783.06
APP-00020,CO-00020,2,3017814.45,14,-155236.38,841221.87
APP-00020,CO-00020,3,3631034.35,16,-122220.62,789660.67
APP-00020,CO-00020,4,4368860.53,17,-69377.51,738099.47
APP-00020,CO-00020,5,5256612.99,20,9987.56,686538.28
APP-00021,CO-00021,1,1948393.75,11,-166236.95,636544.11
